English;Français;Date;Nb;Score;Taux;Good image;Taux2
cumbersome;lourd (c…);05/03/2020;3;-1;-0,333333333;1,0875;-1,42
a rim;une jante;05/03/2020;4;2;0,5;1,075;-0,58
nested;imbriqué;05/03/2020;7;7;1;1,0375;-0,04
to dwindle;diminuer;10/03/2020;0;0;0;1,125;-1,13
to pour;verser;10/03/2020;0;0;0;1,125;-1,13
a beet;une betterave;10/03/2020;1;1;1;1,1125;-0,11
a loan word;un mot d'emprunt;10/03/2020;1;1;1;1,1125;-0,11
to stray;égarer (s…);10/03/2020;4;-4;-1;1,075;-2,08
the whereabouts;où;10/03/2020;5;5;1;1,0625;-0,06
a lid;un couvercle;10/03/2020;5;3;0,6;1,0625;-0,46
a cleat;un tasseau;10/03/2020;5;1;0,2;1,0625;-0,86
to wobble;osciller (w…);10/03/2020;9;-5;-0,555555556;1,0125;-1,57
to wring;essorer;10/03/2020;14;12;0,857142857;0,95;-0,09
traffic lights;les feux de circulation;13/04/2020;2;0;0;1,1;-1,1
to tinker;bricoler;13/04/2020;2;-2;-1;1,1;-2,1
tinder (common name);de l'amadou, du petit bois;13/04/2020;6;6;1;1,05;-0,05
a nightgown;une chemise de nuit;13/04/2020;7;5;0,714285714;1,0375;-0,32
a wig;une perruque;20/04/2020;1;1;1;1,1125;-0,11
a hatch;une trappe (h…);11/05/2020;1;-1;-1;1,1125;-2,11
smelting (common name);la fonte;11/05/2020;1;-1;-1;1,1125;-2,11
to read out;lire à haute voix;11/05/2020;2;-2;-1;1,1;-2,1
a cookbook;un livre de recettes;11/05/2020;4;4;1;1,075;-0,08
a whip;un fouet;11/05/2020;5;3;0,6;1,0625;-0,46
a spool;une bobine;11/05/2020;6;6;1;1,05;-0,05
sparingly;avec parcimonie;11/05/2020;9;1;0,111111111;1,0125;-0,9
an apex;un sommet (propre et figuré) (a…);11/05/2020;10;8;0,8;1;-0,2
the outline;le contour (o…);11/05/2020;11;7;0,636363636;0,9875;-0,35
a spike;une pointe;18/05/2020;0;0;0;1,125;-1,13
a hue;une teinte;18/05/2020;0;0;0;1,125;-1,13
a cuff;une manchette;18/05/2020;1;1;1;1,1125;-0,11
a leap year;une année bissextile;18/05/2020;2;2;1;1,1;-0,1
a jetty (in a haven);une jetée (dans un port);18/05/2020;3;3;1;1,0875;-0,09
a skin rash;une démangeaison de la peau;18/05/2020;3;3;1;1,0875;-0,09
a reed;un roseau;18/05/2020;3;1;0,333333333;1,0875;-0,75
the scaliness;l'évolutivité;18/05/2020;5;1;0,2;1,0625;-0,86
to rebounce;rebondir;18/05/2020;6;6;1;1,05;-0,05
a spinney;un bosquet (s…);18/05/2020;6;4;0,666666667;1,05;-0,38
a hemline;un ourlet;18/05/2020;6;2;0,333333333;1,05;-0,72
a girth;une ceinture / une circonférence;18/05/2020;8;2;0,25;1,025;-0,78
a girdle;une ceinture / une circonférence;18/05/2020;11;-1;-0,090909091;0,9875;-1,08
to tweak;tordre (t…);18/05/2020;12;10;0,833333333;0,975;-0,14
a leap;un saut (l…);18/05/2020;13;9;0,692307692;0,9625;-0,27
overhead (adj.) / an overhead (common name);aérien / un coût;18/05/2020;13;7;0,538461538;0,9625;-0,42
a key lime;un citron vert;26/05/2020;5;5;1;1,0625;-0,06
a yam;une igname;26/05/2020;6;0;0;1,05;-1,05
a califlower;un chou-fleur;26/05/2020;7;7;1;1,0375;-0,04
yeast (common name);de la levure;02/06/2020;0;0;0;1,125;-1,13
threadbare;râpé;02/06/2020;1;-1;-1;1,1125;-2,11
a hyphen;un trait-d'union;02/06/2020;2;2;1;1,1;-0,1
a plight;une situation critique;02/06/2020;2;2;1;1,1;-0,1
a pointer;une aiguille;02/06/2020;2;0;0;1,1;-1,1
a triteness;une banalité (t…);02/06/2020;2;0;0;1,1;-1,1
downright;carrément (d…);02/06/2020;3;-1;-0,333333333;1,0875;-1,42
a hotgoblin;un lutin;02/06/2020;4;4;1;1,075;-0,08
a breakwater;une digue (b…);02/06/2020;4;2;0,5;1,075;-0,58
a logging;un enregistrement / une exploitation forestière;02/06/2020;7;7;1;1,0375;-0,04
to hover;flotter / voltiger (h…);02/06/2020;7;5;0,714285714;1,0375;-0,32
a scam;une arnaque;02/06/2020;8;8;1;1,025;-0,02
arcane (adj.);ésotérique;02/06/2020;9;9;1;1,0125;-0,01
a blurb;une présentation;02/06/2020;10;8;0,8;1;-0,2
The singsong voice of children reciting tables.;La voix chantonnante des enfants récitant les tables de multiplication.;02/06/2020;12;10;0,833333333;0,975;-0,14
a leash;une laisse;22/06/2020;1;1;1;1,1125;-0,11
a brink;un bord;22/06/2020;2;2;1;1,1;-0,1
a cheerleader;une pom-pom girl;22/06/2020;2;0;0;1,1;-1,1
to trade off;troquer;22/06/2020;2;-2;-1;1,1;-2,1
to mend;réparer;22/06/2020;3;3;1;1,0875;-0,09
the rump;la croupe;22/06/2020;3;3;1;1,0875;-0,09
a strait;un détroit;22/06/2020;3;1;0,333333333;1,0875;-0,75
to come into being;naître (to c…);22/06/2020;4;0;0;1,075;-1,08
a sequel;une suite;22/06/2020;5;5;1;1,0625;-0,06
virtually;virtuellement / en pratique;22/06/2020;6;6;1;1,05;-0,05
Go figure!;Allez comprendre !;22/06/2020;6;6;1;1,05;-0,05
colorfast;teint dans une couleur qui ne fadit pas au lavage;22/06/2020;6;4;0,666666667;1,05;-0,38
an apple polisher (figurative expression);un cireur de pompes;22/06/2020;6;4;0,666666667;1,05;-0,38
base (adjective);vil, ignoble (b…);22/06/2020;6;2;0,333333333;1,05;-0,72
a glitch;un dysfonctionnement soudain (un bug);22/06/2020;7;7;1;1,0375;-0,04
wanting (adj.);manquant (w…);22/06/2020;7;7;1;1,0375;-0,04
likeness (common name);la ressemblance (l…);22/06/2020;7;-1;-0,142857143;1,0375;-1,18
destitution (common name);la misère (d…);22/06/2020;7;-1;-0,142857143;1,0375;-1,18
the takeoff;le décollage;22/06/2020;9;9;1;1,0125;-0,01
a pitfall;un piège (p…);22/06/2020;9;-5;-0,555555556;1,0125;-1,57
a spigot;un robinet;22/06/2020;11;9;0,818181818;0,9875;-0,17
alight;en feu, en train de brûler (a…);22/06/2020;13;11;0,846153846;0,9625;-0,12
daunting;intimidant (d…);02/07/2020;2;-2;-1;1,1;-2,1
to sing-song;chantonner, répéter d'une voix chantante (tables de multiplications, …);02/07/2020;7;7;1;1,0375;-0,04
whatever floats your boat;c'est comme tu veux (w…);02/07/2020;15;3;0,2;0,9375;-0,74
a keg;un petit barril;14/07/2020;0;0;0;1,125;-1,13
to lurk;se cacher (l…);14/07/2020;1;1;1;1,1125;-0,11
Whack!;Vlan !;14/07/2020;1;1;1;1,1125;-0,11
aching (adj.);douloureux;14/07/2020;1;1;1;1,1125;-0,11
a gurgle;un gargouillis;14/07/2020;1;-1;-1;1,1125;-2,11
the beak;le bec;14/07/2020;2;2;1;1,1;-0,1
a geezer;un type;14/07/2020;2;2;1;1,1;-0,1
to squelch;écraser;14/07/2020;2;-2;-1;1,1;-2,1
tangled up;emmêlé;14/07/2020;2;-2;-1;1,1;-2,1
to go nuts;devenir fou;14/07/2020;3;1;0,333333333;1,0875;-0,75
a glimmer;une lueur (g…);14/07/2020;3;-3;-1;1,0875;-2,09
moldy;moisi;14/07/2020;5;5;1;1,0625;-0,06
a carrion;une charogne;14/07/2020;5;5;1;1,0625;-0,06
the skids;les patins;14/07/2020;5;3;0,6;1,0625;-0,46
puny (adj.);chétif (p…);14/07/2020;5;-1;-0,2;1,0625;-1,26
stained;taché / coloré;14/07/2020;7;1;0,142857143;1,0375;-0,89
dismayed;consterné (d...);14/07/2020;8;-6;-0,75;1,025;-1,78
to snap;casser / mordre / lâcher;14/07/2020;9;9;1;1,0125;-0,01
squarely (adv.);carrément;14/07/2020;9;9;1;1,0125;-0,01
on the fly;à la volée;14/07/2020;14;4;0,285714286;0,95;-0,66
in lieu of;au lieu de ;14/07/2020;18;15;0,833333333;0,9;-0,07
mating parts;des pièces d'accouplement;21/07/2020;6;6;1;1,05;-0,05
a homemaker;une ménagère;21/07/2020;20;16;0,8;0,875;-0,08
dimly;faiblement;30/07/2020;0;0;0;1,125;-1,13
a pea;un pois;30/07/2020;7;7;1;1,0375;-0,04
seemingly;apparemment (s…);30/07/2020;9;9;1;1,0125;-0,01
The catch is ...;Le hic est ...;30/07/2020;12;10;0,833333333;0,975;-0,14
to get stable;pourrir, devenir périmé;03/08/2020;2;2;1;1,1;-0,1
a bunch;un bouquet / un paquet, une poignée;03/08/2020;9;5;0,555555556;1,0125;-0,46
Way back when …;Il y a longtemps, quand ...;03/08/2020;15;3;0,2;0,9375;-0,74
to knock out;assommer;03/08/2020;16;12;0,75;0,925;-0,18
One will do.;On verra.;10/08/2020;16;10;0,625;0,925;-0,3
a dormitory;un dortoir;05/01/2021;8;8;1;1,025;-0,02
a breadcrumb;une miette de pain;25/01/2021;0;0;0;1,125;-1,13
hunky dory (expr.);au poil;25/01/2021;6;0;0;1,05;-1,05
fins (common name);les palmes (nageoires);25/01/2021;13;7;0,538461538;0,9625;-0,42
a business day;un jour ouvré;05/02/2021;5;5;1;1,0625;-0,06
a caterer;un traiteur;08/02/2021;1;1;1;1,1125;-0,11
a flint;un silex;08/02/2021;2;2;1;1,1;-0,1
a stroll;une promenade (s…);08/02/2021;2;-2;-1;1,1;-2,1
a hardcover;une couverture rigide (livre);08/02/2021;5;3;0,6;1,0625;-0,46
a backache;un mal de dos;14/02/2021;4;2;0,5;1,075;-0,58
a game (hunt.);un gibier;14/02/2021;9;9;1;1,0125;-0,01
a mainstay;un pilier;15/02/2021;1;1;1;1,1125;-0,11
to delve;creuser;15/02/2021;2;0;0;1,1;-1,1
a blurb;une présentation;15/02/2021;9;7;0,777777778;1,0125;-0,23
to predate;antidater / précéder;15/02/2021;9;5;0,555555556;1,0125;-0,46
to flag down;héler, faire signe de s'arrêter;17/02/2021;3;-1;-0,333333333;1,0875;-1,42
to finish with;finir par;21/02/2021;1;-1;-1;1,1125;-2,11
to report on;faire un rapport sur;21/02/2021;5;5;1;1,0625;-0,06
out of fear;par peur;21/02/2021;6;-2;-0,333333333;1,05;-1,38
to turnout;s'avérer;22/02/2021;0;0;0;1,125;-1,13
charred;carbonisé;22/02/2021;5;5;1;1,0625;-0,06
a litter;une litière;22/02/2021;5;5;1;1,0625;-0,06
standalone;autonome (s…);22/02/2021;5;-3;-0,6;1,0625;-1,66
a thigh;une cuisse;22/02/2021;8;8;1;1,025;-0,02
jammed;coincé (j…);22/02/2021;8;2;0,25;1,025;-0,78
to refine;peaufiner;22/02/2021;9;9;1;1,0125;-0,01
to turnaround;faire demi-tour (t…);22/02/2021;20;10;0,5;0,875;-0,38
a handout;un polycopié;24/02/2021;0;0;0;1,125;-1,13
a stub;une extrémité / un talon / une souche;24/02/2021;5;1;0,2;1,0625;-0,86
to mimic;imiter (m…);25/02/2021;4;0;0;1,075;-1,08
a wavelet;une vaguelette;02/03/2021;3;3;1;1,0875;-0,09
to refurbish;remettre à neuf;03/03/2021;1;1;1;1,1125;-0,11
a phrase book;un recueil d'expressions;03/03/2021;11;7;0,636363636;0,9875;-0,35
a jug;une cruche;07/03/2021;0;0;0;1,125;-1,13
the bowels;les intestins;07/03/2021;0;0;0;1,125;-1,13
to chop;hacher;07/03/2021;1;1;1;1,1125;-0,11
plain water;de l'eau claire;07/03/2021;1;1;1;1,1125;-0,11
to cough;tousser;07/03/2021;1;1;1;1,1125;-0,11
a ladder;une échelle;07/03/2021;2;2;1;1,1;-0,1
a relapse (medic.);une rechute;07/03/2021;2;0;0;1,1;-1,1
a lollipop;une sucette;07/03/2021;3;3;1;1,0875;-0,09
the windpipe;la trachée;07/03/2021;3;1;0,333333333;1,0875;-0,75
a lobster;un homard;07/03/2021;3;-3;-1;1,0875;-2,09
a thankless work;un travail ingrat;07/03/2021;4;4;1;1,075;-0,08
a sheath;une gaine;07/03/2021;4;4;1;1,075;-0,08
to season;assaisonner;07/03/2021;4;4;1;1,075;-0,08
the spinal cord;la moëlle épinière;07/03/2021;4;-2;-0,5;1,075;-1,58
parsley (common name);le persil;07/03/2021;5;-1;-0,2;1,0625;-1,26
temping (verb);travailler en intérim;07/03/2021;5;-3;-0,6;1,0625;-1,66
odd jobs;des petits boulots;07/03/2021;8;8;1;1,025;-0,02
cinnamon (common name);la cannelle;07/03/2021;8;4;0,5;1,025;-0,53
a locksmith;un serrurier;07/03/2021;9;9;1;1,0125;-0,01
a sell-by date;une date de péremption;07/03/2021;9;9;1;1,0125;-0,01
dairy products;les produits laitiers;07/03/2021;9;9;1;1,0125;-0,01
a deadlock / a deadend / a blind alley;une impasse;07/03/2021;10;6;0,6;1;-0,4
full-bodied;corsé, qui a du corps;07/03/2021;14;10;0,714285714;0,95;-0,24
an occupational disease;une maladie professionnelle;07/03/2021;15;5;0,333333333;0,9375;-0,6
a trade wind;un alizé;14/03/2021;0;0;0;1,125;-1,13
sleet (common name);la neige fondue;14/03/2021;1;-1;-1;1,1125;-2,11
sleet (common name);la neige fondue;14/03/2021;2;0;0;1,1;-1,1
drizzle (common name);la bruine;14/03/2021;2;0;0;1,1;-1,1
a dale;une vallée;14/03/2021;3;3;1;1,0875;-0,09
overhanging;surplombant;14/03/2021;4;2;0,5;1,075;-0,58
a muskrat;un rat musqué;14/03/2021;5;5;1;1,0625;-0,06
a waterspout;une trombe (w…);14/03/2021;6;-2;-0,333333333;1,05;-1,38
a reef;un récif;14/03/2021;7;5;0,714285714;1,0375;-0,32
black ice (common name);le verglas;14/03/2021;8;8;1;1,025;-0,02
a downpour;une averse (d…);14/03/2021;10;8;0,8;1;-0,2
a whirlpool;un tourbillon;14/03/2021;12;8;0,666666667;0,975;-0,31
damp / dank (adj.);humide;14/03/2021;21;15;0,714285714;0,8625;-0,15
a weather vane;une girouette;16/03/2021;2;0;0;1,1;-1,1
cronyism (common name);le copinage;16/03/2021;2;-2;-1;1,1;-2,1
a warhead;une ogive;16/03/2021;4;-2;-0,5;1,075;-1,58
a doldrum;un marasme (d…);16/03/2021;12;6;0,5;0,975;-0,48
Mayday!;Au secours !;21/03/2021;1;1;1;1,1125;-0,11
to hand out;distribuer;21/03/2021;2;-2;-1;1,1;-2,1
a war of attrition;une guerre à l'usure;21/03/2021;6;6;1;1,05;-0,05
warring (adj.);en guerre;21/03/2021;7;5;0,714285714;1,0375;-0,32
to tone down;atténuer;28/03/2021;0;0;0;1,125;-1,13
a watercolour;une aquarelle;28/03/2021;2;0;0;1,1;-1,1
a viewfinder;un viseur;28/03/2021;2;-2;-1;1,1;-2,1
terracotta (common name);une terre cuite;28/03/2021;3;3;1;1,0875;-0,09
a mallet;un maillet;28/03/2021;3;3;1;1,0875;-0,09
to mumble;marmonner;28/03/2021;3;-1;-0,333333333;1,0875;-1,42
a witticism;un mot d'esprit;28/03/2021;4;4;1;1,075;-0,08
a still life;une nature morte;28/03/2021;4;4;1;1,075;-0,08
shrill;aigu;28/03/2021;4;2;0,5;1,075;-0,58
to jeer;railler (j…);28/03/2021;5;1;0,2;1,0625;-0,86
a forgery;une falsification, une contrefaçon;28/03/2021;6;4;0,666666667;1,05;-0,38
an innuendo;une insinuation;28/03/2021;7;5;0,714285714;1,0375;-0,32
a curfew;un couvre-feu;12/04/2021;4;4;1;1,075;-0,08
bracing (adj.);tonifiant, fortifiant;13/04/2021;0;0;0;1,125;-1,13
to stutter;bégayer;13/04/2021;3;3;1;1,0875;-0,09
a tow truck;une dépanneuse;13/04/2021;3;1;0,333333333;1,0875;-0,75
sandstone (common name);le grès;13/04/2021;3;-1;-0,333333333;1,0875;-1,42
to stammer;balbutier (s…);13/04/2021;5;1;0,2;1,0625;-0,86
blinds (common name);des aveugles / des stores;13/04/2021;6;4;0,666666667;1,05;-0,38
a tile;une tuile;13/04/2021;6;2;0,333333333;1,05;-0,72
a borough;un arrondissement, une municipalité;13/04/2021;7;7;1;1,0375;-0,04
a sob;un sanglot;13/04/2021;7;7;1;1,0375;-0,04
a wasteland;une terre desolée;13/04/2021;7;5;0,714285714;1,0375;-0,32
a shanty town / slums;un bidonville;13/04/2021;9;7;0,777777778;1,0125;-0,23
rot proof (adj.);imputrescible;13/04/2021;11;1;0,090909091;0,9875;-0,9
a shack;une cabane;18/05/2021;1;1;1;1,1125;-0,11
to toggle;basculer;18/05/2021;2;0;0;1,1;-1,1
to bolster;renforcer, rembourrer;18/05/2021;2;-2;-1;1,1;-2,1
to fling;jeter;18/05/2021;3;3;1;1,0875;-0,09
an anchor;une ancre;18/05/2021;3;1;0,333333333;1,0875;-0,75
bed-ridden;alité;04/06/2021;8;8;1;1,025;-0,02
a raft;un radeau;10/06/2021;8;8;1;1,025;-0,02
a magnifying glass;une loupe;10/06/2021;10;8;0,8;1;-0,2
a mice;une souris;19/06/2021;8;8;1;1,025;-0,02
the rightmost, the leftmost;le plus à droite, le plus à gauche;19/06/2021;14;4;0,285714286;0,95;-0,66
a stork;une cigogne;24/06/2021;7;7;1;1,0375;-0,04
a flowerbed;un parterre de fleurs;24/06/2021;17;15;0,882352941;0,9125;-0,03
a wallop;un coup, une rossée (w…);01/07/2021;1;-1;-1;1,1125;-2,11
a marble;une bille;02/07/2021;13;11;0,846153846;0,9625;-0,12
rote;par cœur;04/07/2021;3;3;1;1,0875;-0,09
to earmark smthg to smthg;destiner qqch à un usage particulier (e…);05/07/2021;4;0;0;1,075;-1,08
a wheelbarrow;une brouette;05/07/2021;8;8;1;1,025;-0,02
pushups (common name);des pompes (musculation);14/07/2021;6;6;1;1,05;-0,05
a rationale;un raisonnement;15/07/2021;7;-5;-0,714285714;1,0375;-1,75
a war chest;un coffre de guerre;18/07/2021;0;0;0;1,125;-1,13
hawking (common name);le colportage;18/07/2021;6;4;0,666666667;1,05;-0,38
to doze;sommeiller (d…);18/07/2021;7;-1;-0,142857143;1,0375;-1,18
glistening;brillant (g…);18/07/2021;8;4;0,5;1,025;-0,53
swift (adj.);rapide (s…);21/07/2021;17;15;0,882352941;0,9125;-0,03
to disprove;réfuter;22/07/2021;2;-2;-1;1,1;-2,1
a disbursement;un décaissement;22/07/2021;4;2;0,5;1,075;-0,58
a down payment;un acompte / le premier versement;22/07/2021;6;-4;-0,666666667;1,05;-1,72
edible;comestible;27/07/2021;1;-1;-1;1,1125;-2,11
gingerbread (common name);le pain d'épice;04/08/2021;7;3;0,428571429;1,0375;-0,61
like there’s no tomorrow (expr.);aussi vite que possible, sans planification particulière;10/08/2021;14;6;0,428571429;0,95;-0,52
a steward;un intendant;14/08/2021;6;6;1;1,05;-0,05
smoldering (adj.);fumant;14/08/2021;6;6;1;1,05;-0,05
gore-flecked;maculé de sang;17/08/2021;2;2;1;1,1;-0,1
Macbeth is steeling himself to stab Duncan to death.;Macbeth se prépare à poignarder Duncan à mort.;17/08/2021;17;15;0,882352941;0,9125;-0,03
nosy;curieux, fouineur (n…);25/08/2021;3;-1;-0,333333333;1,0875;-1,42
as opposed to;contrairement à;25/08/2021;12;0;0;0,975;-0,98
a slider;une glissière;26/08/2021;3;3;1;1,0875;-0,09
mock (adj.);faux (m…);31/08/2021;4;0;0;1,075;-1,08
a tycoon;un magnat, un homme d'affaire important;03/09/2021;13;11;0,846153846;0,9625;-0,12
constabulary (common name);les forces de police;04/09/2021;9;9;1;1,0125;-0,01
an ignoramuse;un ignorant, un ignare;05/09/2021;4;4;1;1,075;-0,08
aptly;pertinemment, avec justesse, à propos;08/09/2021;3;1;0,333333333;1,0875;-0,75
a kitten;un chaton;17/09/2021;4;4;1;1,075;-0,08
a speed bump;un dos-d'âne;18/09/2021;1;-1;-1;1,1125;-2,11
barebones (adj.);réduit à l'essentiel;18/09/2021;14;10;0,714285714;0,95;-0,24
to brag;se vanter, fanfaronner (b…);21/09/2021;3;-3;-1;1,0875;-2,09
fictitious;fictif;26/09/2021;3;3;1;1,0875;-0,09
incidentally;accidentellement;26/09/2021;4;4;1;1,075;-0,08
froth (common name);la mousse, l'écume;02/10/2021;0;0;0;1,125;-1,13
to run afoul;se heurter;02/10/2021;1;1;1;1,1125;-0,11
every so often;de temps en temps (e…);14/10/2021;4;-4;-1;1,075;-2,08
a tab;un onglet / une étiquette;14/10/2021;7;5;0,714285714;1,0375;-0,32
redcurrant (common name);la groseille;25/10/2021;4;2;0,5;1,075;-0,58
a beanstalk;une tige de haricot / un haricot magique;28/10/2021;2;2;1;1,1;-0,1
a sprig;un brin, une branchette;09/11/2021;0;0;0;1,125;-1,13
a boulder;un rocher, un bloc de pierre (b…);10/11/2021;8;8;1;1,025;-0,02
a keystroke;une frappe de touche d'ordinateur;15/11/2021;4;4;1;1,075;-0,08
a hand cracking;une manivelle;21/11/2021;3;3;1;1,0875;-0,09
mire / muck (common name);la boue;21/11/2021;6;0;0;1,05;-1,05
a fraudster;un fraudeur;21/11/2021;8;6;0,75;1,025;-0,28
lossy (adj.);non rentable (l…);21/11/2021;18;16;0,888888889;0,9;-0,01
a cakewalk;une promenade;22/11/2021;0;0;0;1,125;-1,13
seaweed (common name);une algue;23/11/2021;11;9;0,818181818;0,9875;-0,17
to hack;pirater / tailler / tousser sans arrêt;24/11/2021;1;1;1;1,1125;-0,11
a crank;une manivelle;24/11/2021;7;7;1;1,0375;-0,04
a minesweeper;un chasseur de mine;24/11/2021;16;14;0,875;0,925;-0,05
a whisker;une moustache;01/12/2021;17;13;0,764705882;0,9125;-0,15
apace (adv.);rapidement, vite (a…);03/12/2021;15;11;0,733333333;0,9375;-0,2
with a fingersnip;en un claquement de doigt;04/12/2021;8;2;0,25;1,025;-0,78
the seascape;le paysage marin (s…);05/12/2021;17;11;0,647058824;0,9125;-0,27
a warthog;un phacochère;22/12/2021;3;3;1;1,0875;-0,09
a periwinkle;une pervenche;29/12/2021;8;0;0;1,025;-1,03
to grind to a halt;s'arrêter (to g...);30/12/2021;11;5;0,454545455;0,9875;-0,53
It would behoove you to learn from them as well.;Il vous appartiendrait d'apprendre d'eux également.;03/01/2022;8;6;0,75;1,025;-0,28
a firehose;une lance à incendie;07/01/2022;3;3;1;1,0875;-0,09
feces (common name);des excréments;11/01/2022;4;4;1;1,075;-0,08
a crate;une caisse, un cageot;16/01/2022;6;6;1;1,05;-0,05
a gnat;un moucheron;17/01/2022;4;4;1;1,075;-0,08
willy-nilly (expr.);bon gré mal gré;20/01/2022;2;2;1;1,1;-0,1
the loo;les toilettes;23/01/2022;0;0;0;1,125;-1,13
a vial;une fiole, une bouteille;23/01/2022;0;0;0;1,125;-1,13
a backwater;de l'eau stagnante / un coin perdu;23/01/2022;8;8;1;1,025;-0,02
to slither;glisser;23/01/2022;10;0;0;1;-1
my in-laws;ma belle-famille;28/01/2022;2;2;1;1,1;-0,1
deer antler;la ramure d'un cerf;30/01/2022;2;2;1;1,1;-0,1
a doe;une biche;30/01/2022;4;2;0,5;1,075;-0,58
a thud;un bruit sourd;30/01/2022;8;6;0,75;1,025;-0,28
thighbone (common name);le fémur;30/01/2022;11;1;0,090909091;0,9875;-0,9
dewy;frais / couvert de rosée;01/02/2022;3;3;1;1,0875;-0,09
Finally, he blurts out his burning question.;Finalement, il laisse échapper sa question brûlante.;13/02/2022;21;17;0,80952381;0,8625;-0,05
a shooting star;une étoile filante;17/02/2022;0;0;0;1,125;-1,13
wads of cash;des liasses de billets;28/02/2022;6;2;0,333333333;1,05;-0,72
to power up;mettre sous tension;28/02/2022;7;7;1;1,0375;-0,04
a sticker;un autocollant;01/03/2022;2;0;0;1,1;-1,1
scads of;des tas de (s…);06/03/2022;3;-3;-1;1,0875;-2,09
a sieve;un tamis (s…);06/03/2022;5;-3;-0,6;1,0625;-1,66
a heatsink;un dissipateur de chaleur;10/03/2022;3;3;1;1,0875;-0,09
No time to dillydally!;Pas le temps de lanterner ! / Pas de temps à perdre !;13/03/2022;8;8;1;1,025;-0,02
on and on;encore et encore;16/03/2022;7;-5;-0,714285714;1,0375;-1,75
gruff (adj.);bourru, brusque, grossier;18/03/2022;6;-4;-0,666666667;1,05;-1,72
a snowflake;un flocon de neige;18/03/2022;7;7;1;1,0375;-0,04
a jiffy;un instant, une seconde (j…);20/03/2022;9;9;1;1,0125;-0,01
bellows (common name, singular);un soufflet, une soufflerie;20/03/2022;15;11;0,733333333;0,9375;-0,2
deflated;dégonflé;26/03/2022;8;8;1;1,025;-0,02
up and running;opérationnel (u…);27/03/2022;9;7;0,777777778;1,0125;-0,23
the belly / the tummy (coll.);le ventre (fam.);05/04/2022;2;2;1;1,1;-0,1
to gloss;briller, faire briller / commenter, interpréter (g…);05/04/2022;5;-1;-0,2;1,0625;-1,26
a water tower;un château d'eau;19/04/2022;7;7;1;1,0375;-0,04
a duct;un canal, une conduite;19/04/2022;8;8;1;1,025;-0,02
a sickle;une faucille;24/04/2022;5;-3;-0,6;1,0625;-1,66
"""m subscript train""";"""m indice train""";29/04/2022;18;12;0,666666667;0,9;-0,23
a thread;un fil / un filetage;01/05/2022;3;1;0,333333333;1,0875;-0,75
I'm getting ahead of myself.;Je prends de l'avance / Je vais trop vite.;03/05/2022;13;9;0,692307692;0,9625;-0,27
a peephole;un judas;11/05/2022;1;1;1;1,1125;-0,11
a pod;une nacelle, une capsule / une sacoche;17/05/2022;4;4;1;1,075;-0,08
to rave;délirer / parler avec enthousiasme;21/05/2022;4;4;1;1,075;-0,08
idiosyncrasy (common name);la particularité (i…);21/05/2022;14;12;0,857142857;0,95;-0,09
cornucopia (common name);la corne d'abondance;25/05/2022;0;0;0;1,125;-1,13
fungible;interchangeable (f…);25/05/2022;12;10;0,833333333;0,975;-0,14
a rhombus;un losange;26/05/2022;1;-1;-1;1,1125;-2,11
hop (common name);le houblon;26/05/2022;5;5;1;1,0625;-0,06
to start back at square one;revenir à la case départ;27/05/2022;1;1;1;1,1125;-0,11
ampersand;"le caractère ""&""";01/06/2022;6;6;1;1,05;-0,05
to ponder;peser le pour et le contre;02/06/2022;12;6;0,5;0,975;-0,48
a mermaid;une sirène;12/06/2022;0;0;0;1,125;-1,13
an egress;une sortie, une issue (e…);13/06/2022;18;14;0,777777778;0,9;-0,12
HVAC;Heating, ventilation, and air conditioning;14/06/2022;1;1;1;1,1125;-0,11
offspring (common name);la progéniture / le résultat;21/06/2022;0;0;0;1,125;-1,13
a timing belt (tech.);une courroie crantée;09/07/2022;4;4;1;1,075;-0,08
a rod;une baguette / une tringle;09/07/2022;13;9;0,692307692;0,9625;-0,27
a paper trail;un série de documents apportant la preuve de l'activité d'une personne ou d'une organisation;11/07/2022;2;2;1;1,1;-0,1
And Bob's your uncle!;Et voilà !;21/07/2022;1;1;1;1,1125;-0,11
wheel spokes;les rayons d'une roue;07/08/2022;2;2;1;1,1;-0,1
a fire hydrant;une bouche d'incendie;10/08/2022;4;0;0;1,075;-1,08
unary minus;"le signe moins ""-""";25/08/2022;3;-1;-0,333333333;1,0875;-1,42
a speeding ticket;une amende pour excès de vitesse;29/08/2022;7;7;1;1,0375;-0,04
a shoe tree;un embauchoir;01/09/2022;1;-1;-1;1,1125;-2,11
an appendage;un appendice;02/09/2022;4;-4;-1;1,075;-2,08
tweezers (common name);une pince à épiler;13/09/2022;9;9;1;1,0125;-0,01
acute accent (common name);l'accent aigu;14/10/2022;8;8;1;1,025;-0,02
to grapple with;lutter avec (g…);18/10/2022;7;3;0,428571429;1,0375;-0,61
a bailiff;un huissier;28/10/2022;2;2;1;1,1;-0,1
a toll plaza;un péage;01/11/2022;0;0;0;1,125;-1,13
ruggedly;durement (r…);01/11/2022;2;-2;-1;1,1;-2,1
jabbering (common name);le bavardage (j…);13/11/2022;3;-1;-0,333333333;1,0875;-1,42
grouchy (adj.);grognon, grincheux;13/11/2022;6;-2;-0,333333333;1,05;-1,38
southpaw (adj.);gaucher;20/11/2022;0;0;0;1,125;-1,13
