english;français;Date;Nb;Score;Taux;image
a speck;un grain;2019-05-20;17;-7;-0.41;91.25
deprecated;obsolète;2019-05-20;22;14;0.64;85.0
a hinge;une charnière;2019-05-20;16;5;0.31;92.5
to teem;pulluler;2019-05-20;16;-9;-0.56;92.5
the breath;l'haleine;2019-06-17;20;13;0.65;87.5
a blank;une rive. une berge / un flan / un blanc;2019-06-17;22;10;0.45;85.0
to staunch;étancher;2019-06-17;36;6;0.17;67.5
to untangle;démêler;2019-06-17;25;13;0.52;81.25
a deliverable;un livrable;2019-06-17;12;5;0.42;97.5
veneer. varnish (common name);du vernis;2019-07-15;21;16;0.76;86.25
a hoax;un canular;2019-07-15;16;12;0.75;92.5
from scratch;à partir de rien;2019-07-15;19;13;0.68;88.75
sorely;grandement;2019-07-15;25;14;0.56;81.25
piece work;le travail à la pièce;2019-07-15;24;19;0.79;82.5
haphazard;au hasard;2019-07-15;13;9;0.69;96.25
shoddy;de mauvaise qualité;2019-07-15;26;18;0.69;80.0
to surround;entourer;2019-07-15;13;9;0.69;96.25
a concussion;une commotion cérébrale;2019-07-15;23;2;0.09;83.75
a filth;une saleté;2019-07-15;25;12;0.48;81.25
to look forward;avoir hâte;2019-07-15;21;17;0.81;86.25
desperation (common name);le désespoir;2019-07-15;20;13;0.65;87.5
to wade in;patauger dans;2019-07-15;19;5;0.26;88.75
a pull-back device;un dispositif de rappel;2019-07-15;17;12;0.71;91.25
a justle;une bousculade;2019-07-15;23;7;0.3;83.75
props (common name);des accessoires;2019-07-15;24;-6;-0.25;82.5
fussy;difficile;2019-07-27;26;3;0.12;80.0
approximately;environ;2019-07-27;19;12;0.63;88.75
the vertex (plural: vertices);le sommet;2019-07-27;26;18;0.69;80.0
fads (common name);des manies;2019-07-27;23;14;0.61;83.75
the heel;le talon;2019-07-27;23;11;0.48;83.75
an air conditioner;une climatisation;2019-07-27;23;14;0.61;83.75
meshed;maillé;2019-07-27;26;17;0.65;80.0
surefire (adj.);infaillible;2019-07-27;18;2;0.11;90.0
ripeness (common name);la matûrité;2019-07-27;30;13;0.43;75.0
a lawn;une pelouse;2019-07-27;20;13;0.65;87.5
the dean;le doyen;2019-07-27;30;22;0.73;75.0
a remittance;une remise;2019-07-27;21;13;0.62;86.25
a smudge;une tache;2019-07-27;26;-1;-0.04;80.0
a mower;une tondeuse;2019-07-27;24;19;0.79;82.5
heretofore;jusqu'ici;2019-07-27;28;20;0.71;77.5
all-out war;la guerre totale;2019-07-27;19;13;0.68;88.75
to forestall;devancer;2019-07-27;19;4;0.21;88.75
to wag;remuer;2019-07-27;22;7;0.32;85.0
a whim;un caprice;2019-07-27;15;13;0.87;93.75
provision (common name);la mise à disposition;2019-07-27;17;8;0.47;91.25
impervious;imperméable;2019-07-27;16;10;0.63;92.5
blandness;la douceur / la fadeur;2019-07-27;31;19;0.61;73.75
a rag;un chiffon;2019-07-27;11;-5;-0.45;98.75
a villain;un scélérat;2019-07-27;25;12;0.48;81.25
to peck;picorer;2019-07-27;20;4;0.2;87.5
to layoff;licencier;2019-07-27;25;13;0.52;81.25
a slick;une nappe;2019-07-27;15;-7;-0.47;93.75
to shudder;frémir;2019-07-27;31;20;0.65;73.75
to dip;plonger / tremper;2019-07-27;30;15;0.5;75.0
the tack;la sellerie;2019-07-27;20;10;0.5;87.5
an appraisal;une évaluation;2019-07-27;32;14;0.44;72.5
unrelenting;implacable;2019-07-27;25;16;0.64;81.25
a compass;une boussole;2019-08-05;18;11;0.61;90.0
a limb;un membre;2019-08-05;33;18;0.55;71.25
a dwelling;une habitation;2019-08-05;26;19;0.73;80.0
punched;poinçonné;2019-08-05;17;4;0.24;91.25
to confound;donner tort;2019-08-05;22;12;0.55;85.0
a pigeonhole;un casier;2019-08-05;12;8;0.67;97.5
hurdling (common name);le saut de haie;2019-08-05;19;11;0.58;88.75
a wrinkle;une ride;2019-08-05;25;20;0.8;81.25
a millwright;un mécanicien de chantier;2019-08-05;24;18;0.75;82.5
a telescope;une longue-vue;2019-08-05;24;18;0.75;82.5
a blanket;une couverture;2019-08-05;26;12;0.46;80.0
a balance sheet;un bilan comptable;2019-08-05;19;14;0.74;88.75
a spark;une étincelle;2019-08-05;24;17;0.71;82.5
wearied;fatigué;2019-08-05;28;-17;-0.61;77.5
a spark plug;une bougie d'allumage;2019-08-05;19;11;0.58;88.75
a plaintiff;un plaignant;2019-08-05;25;17;0.68;81.25
an excursus;une discussion détaillée sur un point particulier d'un livre. habituellement sous la forme d'une annexe;2019-08-12;19;3;0.16;88.75
to topple;renverser;2019-08-12;26;16;0.62;80.0
a markup;un balisage;2019-08-12;21;16;0.76;86.25
goofing (verb);gaffer;2019-08-12;26;20;0.77;80.0
despondence (common name);le découragement;2019-08-12;25;-14;-0.56;81.25
debtful;endetté;2019-08-12;14;8;0.57;95.0
rickety;rachitique;2019-08-12;21;17;0.81;86.25
a backlog;un arriéré;2019-08-12;21;11;0.52;86.25
beveled;biseauté;2019-08-12;20;15;0.75;87.5
to juggle;jongler;2019-08-12;17;-2;-0.12;91.25
a rut;une ornière / une routine;2019-08-12;20;-1;-0.05;87.5
to beseech;supplier;2019-08-12;9;5;0.56;101.25
a mils;un millième;2019-08-12;15;4;0.27;93.75
to paddle;pagayer;2019-08-12;17;9;0.53;91.25
a floral pattern;un motif floral;2019-08-12;26;20;0.77;80.0
to contrive;trouver un moyen pour faire;2019-08-12;23;-10;-0.43;83.75
a workaround;une solution de contournement;2019-08-12;20;12;0.6;87.5
overdone;exagéré;2019-08-12;25;17;0.68;81.25
a hopper;une trémie;2019-08-12;19;2;0.11;88.75
to parse;analyser;2019-08-12;16;11;0.69;92.5
aliasing (common name. techn.);l'erreur dans estimation de la fréquence d'un signal. générant une autre erreur;2019-08-12;11;-2;-0.18;98.75
dizzy;étourdi;2019-08-12;15;1;0.07;93.75
a yarn;un fil;2019-08-12;22;2;0.09;85.0
the modicum;le minimum;2019-08-12;23;2;0.09;83.75
inching (expr.);pas à pas;2019-08-12;20;13;0.65;87.5
a flare;une fusée éclairante;2019-08-12;23;7;0.3;83.75
a moth;un papillon de nuit;2019-10-14;22;15;0.68;85.0
to drown;se noyer;2019-10-14;20;11;0.55;87.5
an expense report;une note de frais;2019-10-14;15;2;0.13;93.75
a janitor;un concierge;2019-10-14;16;7;0.44;92.5
a stove;un fourneau. un four vapeur;2019-10-14;24;16;0.67;82.5
a latch;un loquet;2019-10-14;16;4;0.25;92.5
a rug;une couverture;2019-10-14;21;12;0.57;86.25
a spur;un éperon;2019-10-14;24;10;0.42;82.5
skewed;faussé / assymétrique;2019-10-14;35;21;0.6;68.75
to plead;plaider;2019-10-14;20;14;0.7;87.5
to preclude;empêcher;2019-10-14;23;-11;-0.48;83.75
to stow;ranger;2019-10-14;21;10;0.48;86.25
slippery;glissant;2019-10-14;22;17;0.77;85.0
Tow away zone;Interdiction de stationner (zone d'enlèvement de voiture) / zone de remorquage maritime;2019-10-18;20;16;0.8;87.5
a snail;un escargot;2019-10-18;17;13;0.76;91.25
rough;rude;2019-10-18;17;13;0.76;91.25
a trough;un creux;2019-10-18;26;17;0.65;80.0
a clam;une palourde / un bavard;2019-10-18;22;16;0.73;85.0
a bulge;un renflement. une bosse;2019-10-18;18;6;0.33;90.0
a brushwork;un pinceau;2019-10-23;23;19;0.83;83.75
draftiness (common name);les douleurs;2019-10-23;22;-5;-0.23;85.0
linen;le lin;2019-10-23;17;11;0.65;91.25
a quilt;une courtepointe;2019-10-23;15;-7;-0.47;93.75
padded;rembourré;2019-10-23;27;17;0.63;78.75
a potter;un potier;2019-10-23;26;20;0.77;80.0
a vanload (expression);Le nombre de personnes pouvant être transportées dans un van (une dizaine);2019-10-23;26;19;0.73;80.0
pleated;plissé;2019-10-23;28;21;0.75;77.5
drapes (common name);les teintures;2019-10-23;21;15;0.71;86.25
to stoke;alimenter;2019-10-23;20;1;0.05;87.5
enamel (common name);l'émail;2019-10-23;12;4;0.33;97.5
crinkled;froissé;2019-10-23;21;4;0.19;86.25
a brothel;une maison close;2019-10-23;21;15;0.71;86.25
searing (adj.);brûlant;2019-10-29;18;2;0.11;90.0
fern (common name);la fougère;2019-10-29;22;14;0.64;85.0
an ewer;une aiguière;2019-10-29;21;14;0.67;86.25
to garner;recueillir;2019-10-29;20;1;0.05;87.5
the snout;le museau;2019-10-29;25;15;0.6;81.25
a bangle;un bracelet;2019-10-29;27;-8;-0.3;78.75
a headgear;une coiffure;2019-10-29;19;11;0.58;88.75
a laundromat;une laverie;2019-10-29;23;19;0.83;83.75
ear plugs;des bouchons d'oreille;2019-10-29;15;10;0.67;93.75
a demur;une hésitation;2019-10-29;26;-3;-0.12;80.0
a spat;une prise de bec;2019-10-29;22;-6;-0.27;85.0
ensuing;qui s'ensuit;2019-10-29;20;15;0.75;87.5
bygone (adj.);(évènement) passé;2019-10-29;23;17;0.74;83.75
the juniper;le genévrier;2019-10-29;21;18;0.86;86.25
a hollyhock (flower);une trémière (espèce de rose);2019-10-29;22;10;0.45;85.0
a jibe;une moquerie;2019-10-29;18;9;0.5;90.0
the bark / to bark;l'écorce / aboyer;2019-10-29;20;8;0.4;87.5
a feud;une querelle;2019-10-29;21;15;0.71;86.25
tusks;les défenses (d'un animal);2019-10-29;21;15;0.71;86.25
dusk (common name);le crépuscule;2019-10-29;21;9;0.43;86.25
to billow;onduler;2019-10-29;29;12;0.41;76.25
scalding (adj.);bouillant;2019-10-29;22;-14;-0.64;85.0
the swine;le porc;2019-10-29;22;15;0.68;85.0
the truss;la charpente;2019-10-29;27;13;0.48;78.75
heirs;les héritiers;2019-11-01;20;14;0.7;87.5
hassle (common name);un tracas;2019-11-02;22;2;0.09;85.0
incisors;les incisives;2019-11-02;20;10;0.5;87.5
sentient;sensible;2019-11-02;19;-6;-0.32;88.75
disheartened;découragé;2019-11-02;26;20;0.77;80.0
power of attorney;la procuration;2019-11-02;16;9;0.56;92.5
bespoke (adj.);sur mesure;2019-11-02;14;-6;-0.43;95.0
a kiln;un four;2019-11-02;25;19;0.76;81.25
custard (cooking);de la crème pâtissière;2019-11-02;23;16;0.7;83.75
slender (adj.);mince;2019-11-02;22;6;0.27;85.0
a bereavement;un deuil;2019-11-02;16;-5;-0.31;92.5
an outstanding payment;un impayé;2019-11-02;13;7;0.54;96.25
a conch;une conque (coquillage);2019-11-02;20;13;0.65;87.5
nipped;pincé;2019-11-02;22;7;0.32;85.0
the immediate next of kin;le parent le plus proche;2019-11-02;17;14;0.82;91.25
a squid;un calamar;2019-11-02;24;11;0.46;82.5
a headaway;une avance;2019-11-02;27;6;0.22;78.75
paramount;primordial;2019-11-02;27;12;0.44;78.75
the mortgage balance;le solde hypothécaire;2019-11-02;25;15;0.6;81.25
subsequently;par la suite;2019-11-02;25;20;0.8;81.25
pegged;attaché;2019-11-02;15;-10;-0.67;93.75
a ditch;un fossé;2019-11-02;22;16;0.73;85.0
to take the leap;faire le grand saut;2019-11-02;22;14;0.64;85.0
a vacuum;un aspirateur;2019-11-02;22;8;0.36;85.0
to vest;déléguer;2019-11-02;27;17;0.63;78.75
a shamrock;un trèfle;2019-11-02;27;17;0.63;78.75
a beaver;un castor;2019-11-02;17;12;0.71;91.25
a venture loan;un prêt à risque;2019-11-02;18;10;0.56;90.0
seamless;sans couture;2019-11-02;28;19;0.68;77.5
to set-off;déclencher;2019-11-02;23;4;0.17;83.75
a dwelling;une habitation;2019-11-02;22;15;0.68;85.0
a quarry;une carrière (sens propre);2019-11-02;22;15;0.68;85.0
twirls;des tourbillons;2019-11-02;17;13;0.76;91.25
a slope;une pente;2019-11-02;17;9;0.53;91.25
to tout;vendre. racoler;2019-11-02;28;19;0.68;77.5
unity bills;les factures d'électricité;2019-11-02;18;15;0.83;90.0
a contingency;un imprévu;2019-11-03;21;0;0.0;86.25
a scoop;une cuillère / une pelle / une boule;2019-11-03;24;12;0.5;82.5
to vaunt;se vanter;2019-11-03;19;9;0.47;88.75
to whiz;fuser;2019-11-03;21;12;0.57;86.25
a dash;une course. un élan;2019-11-03;26;13;0.5;80.0
at the outset;au début;2019-11-06;19;1;0.05;88.75
a hatchback;un hayon;2019-11-06;19;-10;-0.53;88.75
to team up with;faire équipe avec;2019-11-06;19;12;0.63;88.75
the storyline;le scénario;2019-11-06;24;17;0.71;82.5
a lossmaking;une perte;2019-11-06;18;9;0.5;90.0
to smother;étouffer. réprimer;2019-11-06;21;-17;-0.81;86.25
the salience;la saillance;2019-11-06;15;9;0.6;93.75
a shortcoming;un défaut;2019-11-06;22;14;0.64;85.0
vented;ventilé;2019-11-06;22;13;0.59;85.0
a foray;une incursion;2019-11-06;15;13;0.87;93.75
to swap;échanger. troquer;2019-11-06;15;8;0.53;93.75
a stranglehold;une mainmise;2019-11-06;18;10;0.56;90.0
a bull market;un marché haussier;2019-11-06;18;10;0.56;90.0
to hand back;rendre;2019-11-06;22;15;0.68;85.0
buckled;voilé;2019-11-07;22;-7;-0.32;85.0
a slab;une dalle;2019-11-07;23;10;0.43;83.75
eulogising (common name);un éloge;2019-11-07;26;14;0.54;80.0
limestone (common name);le calcaire;2019-11-07;23;10;0.43;83.75
chirping (common name);un gazouillement. un pépiement;2019-11-07;22;15;0.68;85.0
a thug;un voyou;2019-11-07;21;14;0.67;86.25
primeval;primitif;2019-11-07;20;10;0.5;87.5
a hamlet;un hameau;2019-11-07;16;13;0.81;92.5
weathered;patiné;2019-11-07;21;0;0.0;86.25
a cobblestone;un pavé;2019-11-07;15;-2;-0.13;93.75
to grabble;attraper;2019-11-07;23;-1;-0.04;83.75
to usher;inaugurer;2019-11-07;17;1;0.06;91.25
to fallout;tomber;2019-11-07;22;7;0.32;85.0
deceptively;trompeusement;2019-11-07;23;15;0.65;83.75
to soak;tremper;2019-11-07;31;16;0.52;73.75
the wardrobe;la garde-robe;2019-11-07;26;20;0.77;80.0
the rollout;la sortie. le dévoilement;2019-11-07;21;9;0.43;86.25
a pumice;une pierre ponce;2019-11-07;19;3;0.16;88.75
meager;maigre;2019-11-07;18;14;0.78;90.0
nefarious;infâme;2019-11-07;21;14;0.67;86.25
towering;imposant;2019-11-07;28;17;0.61;77.5
a splurge;une folie (dépensière);2019-11-07;24;5;0.21;82.5
a pebble;un galet;2019-11-07;23;14;0.61;83.75
patchy;inégal;2019-11-07;22;1;0.05;85.0
the silt;le limon. la vase;2019-11-07;29;11;0.38;76.25
blanketed;couvert;2019-11-07;17;1;0.06;91.25
a windfall;une aubaine;2019-11-18;22;13;0.59;85.0
on the job;sur le tas;2019-11-18;19;12;0.63;88.75
a hanger;un cintre;2019-11-18;24;11;0.46;82.5
a timeliness;une opportunité;2019-11-18;27;16;0.59;78.75
detrimental;préjudiciable;2019-11-18;26;15;0.58;80.0
errands (common name);les courses;2019-11-18;24;10;0.42;82.5
a hedge-trimmer;un taille-haie;2019-11-18;19;14;0.74;88.75
sullen (adj.);renfrogné;2019-11-18;20;-12;-0.6;87.5
the fixturing;le montage;2019-11-18;24;-12;-0.5;82.5
lace (common name);la dentelle;2019-11-18;13;-4;-0.31;96.25
a schoolboy;un écolier;2019-11-18;21;16;0.76;86.25
the soulmate;l'âme sur;2019-11-18;13;9;0.69;96.25
to skimp;lésiner;2019-11-18;23;13;0.57;83.75
to hold true;être vrai;2019-11-18;28;18;0.64;77.5
sintered;fritté;2019-11-18;20;17;0.85;87.5
featuring with;"""mettant en vedette avec""";2019-12-03;28;19;0.68;77.5
giveaways;des cadeaux;2019-12-03;22;12;0.55;85.0
a goodness of fit;une qualité d'ajustement;2019-12-03;17;9;0.53;91.25
an expendiency;une opportunité;2019-12-03;21;-11;-0.52;86.25
a wasp;une guêpe;2019-12-03;22;17;0.77;85.0
tool wear (common name);l'usure des outils;2019-12-03;17;11;0.65;91.25
pertaining;se rapportant;2019-12-03;18;14;0.78;90.0
a nudge;un coup de coude;2019-12-03;17;-12;-0.71;91.25
with respect to;par rapport à;2019-12-03;16;11;0.69;92.5
a surrogate;un substitut;2019-12-03;19;14;0.74;88.75
utterly;tout à fait. totalement;2019-12-03;22;16;0.73;85.0
to grit;grincer;2019-12-03;20;12;0.6;87.5
a groundwork;un travail préparatoire;2019-12-16;25;3;0.12;81.25
a probe;une sonde;2019-12-16;21;18;0.86;86.25
to substantiate;justifier;2019-12-16;21;-9;-0.43;86.25
a scrutiny;un examen minutieux;2019-12-16;13;-3;-0.23;96.25
a buy-off;un rachat;2019-12-16;27;18;0.67;78.75
a fixture;une fixation;2019-12-16;23;5;0.22;83.75
to falter;vaciller;2019-12-16;13;-5;-0.38;96.25
tampering (common name);la falsification;2019-12-16;20;14;0.7;87.5
to cover;recouvrir;2019-12-16;23;19;0.83;83.75
an air draft;un courant d'air;2019-12-16;21;12;0.57;86.25
derogatory;dénigrant. dépréciant;2019-12-27;16;1;0.06;92.5
an omen;un présage;2019-12-27;29;16;0.55;76.25
a ladle / ladle (adj.);une louche / prodigue;2019-12-27;26;4;0.15;80.0
oblivious;inconscient;2019-12-27;22;1;0.05;85.0
the causeway;la chaussée;2019-12-27;19;16;0.84;88.75
a nipple;un mamelon;2019-12-27;19;15;0.79;88.75
fuzzy;fou;2019-12-27;14;-8;-0.57;95.0
a cutaway;un plan de coupe (dessin technique);2019-12-27;15;12;0.8;93.75
to encompass;englober;2019-12-27;23;15;0.65;83.75
a bead;une perle;2019-12-27;21;13;0.62;86.25
a sling;une élingue / une écharpe médicale;2019-12-27;29;17;0.59;76.25
a buffer;un tampon;2019-12-27;21;12;0.57;86.25
a shutter;un volet / un obturateur;2019-12-27;29;5;0.17;76.25
coarse;grossier;2019-12-27;24;12;0.5;82.5
the headdress;la coiffure;2019-12-27;16;11;0.69;92.5
savvy (common name);le bon sens. la jugeote;2019-12-27;16;10;0.63;92.5
congruent;conforme;2019-12-27;17;-3;-0.18;91.25
a bucket;un seau;2019-12-27;27;17;0.63;78.75
a fallout;une retombée (au propre et au figuré);2019-12-27;26;-4;-0.15;80.0
a ramble;une randonnée;2020-01-18;21;6;0.29;86.25
a seizure;une saisie / une crise d'épilepsie;2020-01-18;21;16;0.76;86.25
a rooster;un coq;2020-01-18;16;9;0.56;92.5
a lad;un gamin. un jeune homme;2020-01-18;35;24;0.69;68.75
to plunder;piller;2020-01-18;32;18;0.56;72.5
tar (common name);le goudron;2020-01-18;21;15;0.71;86.25
betrothal (common name);les fiançailles;2020-01-18;23;12;0.52;83.75
crippled;estropié;2020-01-18;19;9;0.47;88.75
to feud;se quereller;2020-01-18;18;10;0.56;90.0
to squeeze;écraser;2020-01-18;15;9;0.6;93.75
a tender;une offre / une navette;2020-01-18;20;-9;-0.45;87.5
the amenities;les agréments;2020-01-18;10;-2;-0.2;100.0
brackish;saumâtre;2020-01-18;27;14;0.52;78.75
a blemish;un défaut;2020-01-18;21;2;0.1;86.25
brimming (adj.);débordant;2020-01-18;22;-14;-0.64;85.0
a jackal;un chacal;2020-01-18;11;4;0.36;98.75
a loot;un butin;2020-01-18;25;-8;-0.32;81.25
to deem;considérer;2020-01-18;18;7;0.39;90.0
to grizzle;geindre;2020-01-18;26;-7;-0.27;80.0
a wineskin;une outre;2020-01-18;21;12;0.57;86.25
a prong;une dent;2020-01-18;12;-4;-0.33;97.5
to slam;claquer;2020-01-18;26;9;0.35;80.0
a tally;un pointage. un compte / une baguette / un talon;2020-01-18;26;9;0.35;80.0
hooves;les sabots;2020-01-27;28;21;0.75;77.5
a propshaft;un arbre de transmission;2020-01-27;15;9;0.6;93.75
a horse sense;du bon sens;2020-01-27;31;20;0.65;73.75
a taunt;une raillerie;2020-01-27;19;-1;-0.05;88.75
a repository;un dépôt. un entrepôt;2020-01-27;20;17;0.85;87.5
nigh;près;2020-01-27;26;20;0.77;80.0
an axle;un essieu;2020-01-27;16;10;0.63;92.5
a square deal;un arrangement équitable;2020-01-27;16;10;0.63;92.5
nonsensical;absurde;2020-01-27;15;11;0.73;93.75
cornered;acculé;2020-01-27;23;0;0.0;83.75
to entreat;supplier;2020-01-27;23;8;0.35;83.75
to entitle (smbdy);habiliter (quelqu'un);2020-01-28;15;9;0.6;93.75
to teeter;vaciller. chanceler;2020-02-11;18;-9;-0.5;90.0
a contrivance;un stratagème;2020-02-11;28;-8;-0.29;77.5
to huddle;se blottir;2020-02-11;24;9;0.38;82.5
an enclosure;une enceinte;2020-02-11;22;0;0.0;85.0
a hilt;une poignée;2020-02-11;24;-11;-0.46;82.5
to screen out;filtrer;2020-02-11;18;12;0.67;90.0
to tromp;marcher sur un terrain difficile;2020-02-11;17;11;0.65;91.25
a pellet;une pastille;2020-02-11;28;5;0.18;77.5
strapping (common name);le cerclage;2020-02-11;27;18;0.67;78.75
to straddle;enjamber;2020-02-11;21;10;0.48;86.25
a belt (techn.);une courroie;2020-02-11;24;14;0.58;82.5
a hose;un tuyau;2020-02-11;27;-4;-0.15;78.75
hitherto;jusqu'ici;2020-02-11;18;11;0.61;90.0
whence;d'où;2020-02-11;18;11;0.61;90.0
sputtering (common name);la pulvérisation;2020-02-11;20;-9;-0.45;87.5
an ingot;un lingot;2020-02-11;24;15;0.63;82.5
downstream;en aval;2020-02-11;17;8;0.47;91.25
hay (common name);les foins;2020-02-11;21;17;0.81;86.25
painstaking (adj.);soigneux;2020-02-26;29;20;0.69;76.25
starch (common name);l'amidon;2020-02-26;20;7;0.35;87.5
measles (common name);la rougeole;2020-02-26;22;15;0.68;85.0
caulking (common name);le calfeutrage;2020-03-05;13;-1;-0.08;96.25
nested;imbriqué;2020-03-05;20;16;0.8;87.5
forcible;puissant. efficace;2020-03-05;20;0;0.0;87.5
a rim;une jante;2020-03-05;20;12;0.6;87.5
a hitch;un attelage;2020-03-05;23;9;0.39;83.75
a blunder;une gaffe;2020-03-05;18;-13;-0.72;90.0
cumbersome;lourd;2020-03-05;16;12;0.75;92.5
finicky;pointilleux;2020-03-05;15;13;0.87;93.75
a cogwheel;une roue dentée;2020-03-05;24;14;0.58;82.5
colloquial;familier;2020-03-05;17;10;0.59;91.25
a portcullis;une herse;2020-03-05;13;6;0.46;96.25
a bane;un fléau;2020-03-05;18;6;0.33;90.0
a cleat;un tasseau;2020-03-10;19;15;0.79;88.75
downtrodden;opprimé;2020-03-10;19;7;0.37;88.75
to wring;essorer;2020-03-10;23;18;0.78;83.75
a knob;un bouton / une poignée;2020-03-10;13;7;0.54;96.25
a sliver;un ruban;2020-03-10;24;-2;-0.08;82.5
a peddler;un colporteur;2020-03-10;26;16;0.62;80.0
a hearth;un foyer;2020-03-10;18;-2;-0.11;90.0
the whereabouts;où;2020-03-10;32;20;0.63;72.5
to wobble;osciller;2020-03-10;27;21;0.78;78.75
an offtake;un prélèvement;2020-03-10;17;3;0.18;91.25
to dwindle;diminuer;2020-03-10;27;-2;-0.07;78.75
to swell;gonfler;2020-03-10;19;12;0.63;88.75
a lid;un couvercle;2020-03-10;24;17;0.71;82.5
budding;bourgeonnant;2020-03-10;24;16;0.67;82.5
a twig;une brindille;2020-03-10;21;12;0.57;86.25
to pour;verser;2020-03-10;26;15;0.58;80.0
a beet;une betterave;2020-03-10;19;11;0.58;88.75
a loan word;un mot d'emprunt;2020-03-10;20;14;0.7;87.5
a beam;une poutre / un faisceau;2020-03-10;19;9;0.47;88.75
a scatter;une dispersion;2020-03-10;17;10;0.59;91.25
to stray;égarer;2020-03-10;35;11;0.31;68.75
a vagrant;un vagabond;2020-04-13;24;14;0.58;82.5
tinder (common name);de l'amadou. du petit bois;2020-04-13;22;15;0.68;85.0
a bounty;une prime;2020-04-13;25;12;0.48;81.25
traffic lights;les feux de circulation;2020-04-13;22;16;0.73;85.0
a nightgown;une chemise de nuit;2020-04-13;22;16;0.73;85.0
to tinker;bricoler;2020-04-13;36;5;0.14;67.5
a wig;une perruque;2020-04-20;29;14;0.48;76.25
trifling (adj.);insignifiant;2020-04-20;25;15;0.6;81.25
to abridge;abréger;2020-04-20;22;13;0.59;85.0
sundries;des articles divers;2020-04-20;24;4;0.17;82.5
poultry (common name);la volaille;2020-05-11;22;14;0.64;85.0
smelting (common name);la fonte;2020-05-11;21;13;0.62;86.25
a spool;une bobine;2020-05-11;22;16;0.73;85.0
a lump;une bosse;2020-05-11;18;-4;-0.22;90.0
to kindle;allumer. déclencher;2020-05-11;21;0;0.0;86.25
to scatter;disperser;2020-05-11;22;14;0.64;85.0
a vat;une cuve;2020-05-11;22;5;0.23;85.0
a lathe;un tour (machine-outil);2020-05-11;13;2;0.15;96.25
a whip;un fouet;2020-05-11;17;13;0.76;91.25
a cookbook;un livre de recettes;2020-05-11;28;18;0.64;77.5
a hatch;une trappe;2020-05-11;29;2;0.07;76.25
sparingly;avec parcimonie;2020-05-11;21;17;0.81;86.25
to read out;lire à haute voix;2020-05-11;22;14;0.64;85.0
a skin rash;une démangeaison de la peau;2020-05-18;23;16;0.7;83.75
scaly;méprisable. lâche;2020-05-18;17;-5;-0.29;91.25
a hue;une teinte;2020-05-18;19;14;0.74;88.75
in his premises;chez lui;2020-05-18;34;24;0.71;70.0
shagged;crevé;2020-05-18;11;-8;-0.73;98.75
a leap year;une année bissextile;2020-05-18;14;9;0.64;95.0
the scaliness;l'évolutivité;2020-05-18;24;14;0.58;82.5
a leap;un saut;2020-05-18;35;23;0.66;68.75
a matting;une natte (tapis oriental);2020-05-18;23;0;0.0;83.75
jam-packed;bourré;2020-05-18;13;0;0.0;96.25
to rebounce;rebondir;2020-05-18;23;18;0.78;83.75
a girth;une ceinture / une circonférence;2020-05-18;20;16;0.8;87.5
to beget;engendrer;2020-05-18;13;-10;-0.77;96.25
a tug;un remorqueur;2020-05-18;11;-8;-0.73;98.75
a spike;une pointe;2020-05-18;26;16;0.62;80.0
sworn in;assermenté;2020-05-18;14;10;0.71;95.0
a clipboard;un presse-papier;2020-05-18;18;1;0.06;90.0
to flush;affleurer;2020-05-18;26;2;0.08;80.0
a cuff;une manchette;2020-05-18;27;13;0.48;78.75
to foster;favoriser;2020-05-18;13;1;0.08;96.25
a hemline;un ourlet;2020-05-18;26;18;0.69;80.0
a jetty (in a haven);une jetée (dans un port);2020-05-18;22;15;0.68;85.0
a girdle;une ceinture / une circonférence;2020-05-18;25;19;0.76;81.25
a reed;un roseau;2020-05-18;20;13;0.65;87.5
devoid (adj.);dépourvu;2020-05-18;14;-6;-0.43;95.0
a woe;un malheur;2020-05-18;15;-5;-0.33;93.75
a spinney;un bosquet;2020-05-18;25;20;0.8;81.25
an incumbent;un titulaire;2020-05-18;24;2;0.08;82.5
a warm up;une mise en train;2020-05-18;23;10;0.43;83.75
a dice roll;un lancer de dé;2020-05-18;32;10;0.31;72.5
dim;faible;2020-05-18;17;10;0.59;91.25
to tweak;tordre;2020-05-18;28;20;0.71;77.5
beleaguered;assiégé;2020-05-18;21;8;0.38;86.25
to scrabble;gratter;2020-05-18;18;6;0.33;90.0
a yam;une igname;2020-05-26;31;21;0.68;73.75
a califlower;un chou-fleur;2020-05-26;22;16;0.73;85.0
a key lime;un citron vert;2020-05-26;23;16;0.7;83.75
the fortitude;le courage;2020-06-02;27;15;0.56;78.75
yeast (common name);de la levure;2020-06-02;28;3;0.11;77.5
a housework;un ménage;2020-06-02;12;6;0.5;97.5
a blurb;une présentation;2020-06-02;32;23;0.72;72.5
adamant (adj.);catégorique;2020-06-02;20;-6;-0.3;87.5
a friar;un frère (moine);2020-06-02;25;19;0.76;81.25
a scam;une arnaque;2020-06-02;25;18;0.72;81.25
clumsy;maladroit;2020-06-02;17;-3;-0.18;91.25
a logging;un enregistrement / une exploitation forestière;2020-06-02;20;16;0.8;87.5
a hyphen;un trait-d'union;2020-06-02;21;15;0.71;86.25
a pointer;une aiguille;2020-06-02;29;17;0.59;76.25
perfunctory (adj.);sommaire;2020-06-02;22;-5;-0.23;85.0
